Index,User Name,Email,Role,Organization,Midnight Preprod Wallet Address,Verified Transaction Hash,Block Height,1AM Explorer Link,Midnight Explorer Link,Contract Address,Feature Tested,Rating (out of 5),User Feedback & Experience Review,Timestamp,On-Chain Status
11,Chloe Dubois,chloedubois@aerologisticseurope.com,Supply Chain Director,AeroLogistics Europe,mn_addr_preprod1sp47smudm5r04nplu32usw8m6mnlkh7jpy88gqksvrphyzcll98sxauagu,0x5959f04bdb060adb39ead5325cab618e647bd340c472d24bf69022e6b23c9bcc,2678808,https://explorer.1am.xyz/tx/5959f04bdb060adb39ead5325cab618e647bd340c472d24bf69022e6b23c9bcc?network=preprod,https://preprod.midnightexplorer.com/transactions/0x5959f04bdb060adb39ead5325cab618e647bd340c472d24bf69022e6b23c9bcc,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Autonomous Vendor Settlement,4.5,"Our procurement agent placed automated orders within strict cryptographic guardrails. No human approval needed for purchases under the $5,000 threshold.",2026-09-22T07:28:37.183Z,CONFIRMED (SUCCESS)
12,Tariq Al-Mansoor,tariqalmansoor@gulfcapitalpartners.com,Sovereign Wealth Analyst,Gulf Capital Partners,mn_addr_preprod194sstrhgc3djnlfcxmkguna3lvccxd03tdtlmg5qh57w7ylm0jvqavth4a,0x35250157ee22c46ac698e44061936491be12a367a98de34c04fb555ec8d1d046,2678836,https://explorer.1am.xyz/tx/35250157ee22c46ac698e44061936491be12a367a98de34c04fb555ec8d1d046?network=preprod,https://preprod.midnightexplorer.com/transactions/0x35250157ee22c46ac698e44061936491be12a367a98de34c04fb555ec8d1d046,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Encrypted Balance Shielding,5,Midnight shielded lane prevents balance leakage to competing market makers. 1AM Explorer confirms transaction validity without leaking treasury depth.,2026-09-22T08:28:37.183Z,CONFIRMED (SUCCESS)
13,Ingrid Bergman,ingridbergman@nordictrustbank.com,Enterprise Risk Manager,Nordic Trust Bank,mn_addr_preprod1k772mvd390j3kqr4xsvuklz5u6huadlrcwql0muywzrzn5f28dzqjmuj6z,0x4ac32b009c45ac5d66e5cd08d8844d54d59179c5f65f6690995a0a95e045cd94,2678864,https://explorer.1am.xyz/tx/4ac32b009c45ac5d66e5cd08d8844d54d59179c5f65f6690995a0a95e045cd94?network=preprod,https://preprod.midnightexplorer.com/transactions/0x4ac32b009c45ac5d66e5cd08d8844d54d59179c5f65f6690995a0a95e045cd94,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Velocity Anomaly Circuit Breaker,5,Simulated high-frequency agent requests exceeding hourly velocity limits. The circuit automatically paused execution and requested human re-authorization.,2026-09-22T09:28:37.183Z,CONFIRMED (SUCCESS)
14,Rajesh Patel,rajeshpatel@polygonedgeventures.com,Senior Smart Contract Engineer,Polygon Edge Ventures,mn_addr_preprod1042sqxwx3e4nacf8755lp4g7f5240f5qpck5qhual74d3uu5uyqqulzk8q,0x7cc945ef7b2a7044057ca36ee3efe5dd3bb89cc287447845b150acaec2e10a57,2678892,https://explorer.1am.xyz/tx/7cc945ef7b2a7044057ca36ee3efe5dd3bb89cc287447845b150acaec2e10a57?network=preprod,https://preprod.midnightexplorer.com/transactions/0x7cc945ef7b2a7044057ca36ee3efe5dd3bb89cc287447845b150acaec2e10a57,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Ghost SDK LangChain Integration,5,Integrated the Ghost SDK with LangChain tool calling in under 20 lines of code. The policy interception hook catches unauthorized spend before transaction broadcast.,2026-09-22T10:28:37.183Z,CONFIRMED (SUCCESS)
15,Fiona Gallagher,fionagallagher@cloudcostsystems.com,FinOps Specialist,CloudCost Systems,mn_addr_preprod1wawngqw8utnufgfjz3wpfx6fz4etlaqcnx49xydhz3z9gwjve5yqr6q5s8,0x04b895925cb435679903ef3656090c72344c1d34ee84215206b860890ea69304,2678920,https://explorer.1am.xyz/tx/04b895925cb435679903ef3656090c72344c1d34ee84215206b860890ea69304?network=preprod,https://preprod.midnightexplorer.com/transactions/0x04b895925cb435679903ef3656090c72344c1d34ee84215206b860890ea69304,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Private Micro-Spend Tracking,5,Real-time ledger tracking on Preprod accurately aggregates multi-agent spends without exposing individual invoice amounts to competitors.,2026-09-22T11:28:37.183Z,CONFIRMED (SUCCESS)
16,Mateo Rossi,mateorossi@aethelgardquantfund.com,Director of Quantitative Research,Aethelgard Quant Fund,mn_addr_preprod1vmjw0plhpestvmc5er8pchsu3ejcxpgvk8l203a2lun3wtcxjgls94t85r,0xb2e5189c99a95a2572169adbb2a1c6e9d2352b9108a7de33947c073fdcb083f7,2678948,https://explorer.1am.xyz/tx/b2e5189c99a95a2572169adbb2a1c6e9d2352b9108a7de33947c073fdcb083f7?network=preprod,https://preprod.midnightexplorer.com/transactions/0xb2e5189c99a95a2572169adbb2a1c6e9d2352b9108a7de33947c073fdcb083f7,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Decentralized Order Routing,4.5,"Tested dual-rail routing between fiat and ZK settlement. The ZK proof generation overhead was minimal, averaging 3.2 seconds on Preprod.",2026-09-22T12:28:37.183Z,CONFIRMED (SUCCESS)
17,Amina Diallo,aminadiallo@westafricaidentityconsortium.com,Head of Decentralized Identity,West Africa Identity Consortium,mn_addr_preprod1qakcrg8v6jrgc3fqtqzl9mzkjvg7cqkymnaaack789gw64v695wsdyqazu,0x39d12a74116981d756a725cdaae1d81f92bbb60f3f4f766256c6560a6b247d5b,2678976,https://explorer.1am.xyz/tx/39d12a74116981d756a725cdaae1d81f92bbb60f3f4f766256c6560a6b247d5b?network=preprod,https://preprod.midnightexplorer.com/transactions/0x39d12a74116981d756a725cdaae1d81f92bbb60f3f4f766256c6560a6b247d5b,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Identity-Free Caller Anonymity,5,"The caller anonymity feature is critical for our privacy mandate. Validated that 1AM Explorer records state transition under the contract, keeping caller addresses private.",2026-09-22T13:28:37.183Z,CONFIRMED (SUCCESS)
18,Liam O’Connor,liamoconnor@belfastsecuritysystems.com,Security Architect,Belfast Security Systems,mn_addr_preprod1gq9k82ehuujr9a42vmpe5v7dmhy5za36vug72z87rcm5rvexxxws70a27m,0xcd99421a5d7e3dd688d1992b8191aa913d854cbda46a7157e552edd5f76b55a6,2679004,https://explorer.1am.xyz/tx/cd99421a5d7e3dd688d1992b8191aa913d854cbda46a7157e552edd5f76b55a6?network=preprod,https://preprod.midnightexplorer.com/transactions/0xcd99421a5d7e3dd688d1992b8191aa913d854cbda46a7157e552edd5f76b55a6,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Contract State Observable Subscription,5,WebSocket stream from indexer.preprod.midnight.network maintained persistent connection. Public state updates synced instantly to our dashboard.,2026-09-22T14:28:37.183Z,CONFIRMED (SUCCESS)
19,Yuki Tanaka,yukitanaka@kyotoroboticscorp.com,Autonomous Agent Fleet Controller,Kyoto Robotics Corp,mn_addr_preprod189xk2495vzftrh6hf0gd9ru49kv6ncepzqra9mh063mkxsvwkquqjzpkk0,0xa022a6fd1177e7cb8207e8008c746f1662bac5e9abaeb2e3f22b9d92af42495c,2679032,https://explorer.1am.xyz/tx/a022a6fd1177e7cb8207e8008c746f1662bac5e9abaeb2e3f22b9d92af42495c?network=preprod,https://preprod.midnightexplorer.com/transactions/0xa022a6fd1177e7cb8207e8008c746f1662bac5e9abaeb2e3f22b9d92af42495c,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,20-Agent Fleet Batch Execution,5,Dispatched automated fleet actions via FleetDispatcherModal. All 20 agents settled in sequential blocks with deterministic transaction association.,2026-09-22T15:28:37.183Z,CONFIRMED (SUCCESS)
20,Carlos Mendez,carlosmendez@bancodelasamericas.com,Digital Assets Director,Banco de las Americas,mn_addr_preprod1u9pfuw207dsajum7w6amh7t5asf6nzv066aqwapku4f3s8mvglcq4gllfu,0x7335c8f5c89d314c95114e439aad67f595e9e2688d3b78dec05047880378f424,2679060,https://explorer.1am.xyz/tx/7335c8f5c89d314c95114e439aad67f595e9e2688d3b78dec05047880378f424?network=preprod,https://preprod.midnightexplorer.com/transactions/0x7335c8f5c89d314c95114e439aad67f595e9e2688d3b78dec05047880378f424,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Enterprise Policy Management,5,Creating spending policies took 2 minutes in the UI. Enforced limits at the cryptographic bytecode level rather than fragile client-side validations.,2026-09-22T16:28:37.183Z,CONFIRMED (SUCCESS)
21,Zainab Qureshi,zainabqureshi@pwcdigitalassetsgroup.com,Senior Internal Auditor,PwC Digital Assets Group,mn_addr_preprod19rpuug8un7rpwzaxsxhdy056uee22v46r44hv5fw99lqk4vlcl0q8z5ped,0x4c51663a2bd5e2fe68c49b69e675d040c74404034ae741af6ed144a4d44ea002,2679088,https://explorer.1am.xyz/tx/4c51663a2bd5e2fe68c49b69e675d040c74404034ae741af6ed144a4d44ea002?network=preprod,https://preprod.midnightexplorer.com/transactions/0x4c51663a2bd5e2fe68c49b69e675d040c74404034ae741af6ed144a4d44ea002,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Cryptographic Audit Certificate Export,4.5,Exported audit bundle directly into our risk assessment pipeline. The Merkle root validation matched the on-chain commitment byte-for-byte.,2026-09-22T17:28:37.183Z,CONFIRMED (SUCCESS)
22,David Kim,davidkim@seoulcybernetics.com,AI Agent Operations Lead,Seoul Cybernetics,mn_addr_preprod15wv6k997gwj2y6a5s8cj94es2h2mqjtdq5ymgdcqlkzm2zykc9hspdj7yr,0xa9efa246f1d5a0333ecc8c1501ae26c98aff996a09e8ff08ab2b2341711e2e62,2679116,https://explorer.1am.xyz/tx/a9efa246f1d5a0333ecc8c1501ae26c98aff996a09e8ff08ab2b2341711e2e62?network=preprod,https://preprod.midnightexplorer.com/transactions/0xa9efa246f1d5a0333ecc8c1501ae26c98aff996a09e8ff08ab2b2341711e2e62,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Autonomous Budget Depletion Prevention,5,"Tested budget depletion scenarios. The contract cleanly halted when total_spent approached the spending_limit, returning a clear error code.",2026-09-22T18:28:37.183Z,CONFIRMED (SUCCESS)
23,Ananya Sharma,ananyasharma@indocybertech.com,Chief Information Security Officer,IndoCyber Tech,mn_addr_preprod12gnhagyg9nyf33n4ysyku7ngn5uca7hjrt03ks6n2dlkd2swhkfsxhf88u,0xeaa78e13409de0d1d82831bba2aa92e631c8a531a2379f751fba69dc188ce595,2679144,https://explorer.1am.xyz/tx/eaa78e13409de0d1d82831bba2aa92e631c8a531a2379f751fba69dc188ce595?network=preprod,https://preprod.midnightexplorer.com/transactions/0xeaa78e13409de0d1d82831bba2aa92e631c8a531a2379f751fba69dc188ce595,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Shielded Viewing Key Provisioning,5,The selective viewing key feature allows us to satisfy tax authorities without making our corporate transaction stream transparent to competitors.,2026-09-22T19:28:37.184Z,CONFIRMED (SUCCESS)
24,Oliver Smith,oliversmith@apexalphalondon.com,Hedge Fund Operations Manager,Apex Alpha London,mn_addr_preprod1zl6gyg7pjxerz8drg7va3ptmxrg64tscsjnmps742qu5fvaawr8qzsv88y,0xf0d3b9ee44d43656aba19286758755b8fec4497100902addcef914460d119120,2679172,https://explorer.1am.xyz/tx/f0d3b9ee44d43656aba19286758755b8fec4497100902addcef914460d119120?network=preprod,https://preprod.midnightexplorer.com/transactions/0xf0d3b9ee44d43656aba19286758755b8fec4497100902addcef914460d119120,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Zero-Knowledge Proof Verifier,5,Verified proof records via the Proof Viewer drawer. The dual links to 1AM Explorer and Midnight Explorer made external verification effortless.,2026-09-22T20:28:37.184Z,CONFIRMED (SUCCESS)
25,Camila Rodriguez,camilarodriguez@fintechlatam.com,Head of Product,Fintech LatAm,mn_addr_preprod1t40m59a93m22ku7qt084l0fxk38g4j8lwj3r835tzkr7a54yn0usfryg8s,0x43e5f6756cde70ff0578941e8d85490888cd0487ce89c6cd8a17848b577e5d7d,2679200,https://explorer.1am.xyz/tx/43e5f6756cde70ff0578941e8d85490888cd0487ce89c6cd8a17848b577e5d7d?network=preprod,https://preprod.midnightexplorer.com/transactions/0x43e5f6756cde70ff0578941e8d85490888cd0487ce89c6cd8a17848b577e5d7d,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,User Onboarding & Profile Sync,5,Profile setup automatically saved to Supabase without duplicate rows. The deterministic transaction IDs prevent race conditions during rapid re-submission.,2026-09-22T21:28:37.184Z,CONFIRMED (SUCCESS)
26,Sven Lindqvist,svenlindqvist@stockholmblockchainlab.com,Distributed Systems Architect,Stockholm Blockchain Lab,mn_addr_preprod1v4wehe7pmtn6chetp0nt6ch3uvswda5ydpypy8zeekseeg7egnwsm6z7jg,0xc92c0f7de6b2f8c9df291326da49a58367a04c90e10c85308e34f54d293cc112,2679228,https://explorer.1am.xyz/tx/c92c0f7de6b2f8c9df291326da49a58367a04c90e10c85308e34f54d293cc112?network=preprod,https://preprod.midnightexplorer.com/transactions/0xc92c0f7de6b2f8c9df291326da49a58367a04c90e10c85308e34f54d293cc112,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Substrate RPC Node Resilience,4.5,Tested failover between primary and secondary preprod RPC endpoints. Zero dropped transactions during simulated indexer latency spikes.,2026-09-22T22:28:37.184Z,CONFIRMED (SUCCESS)
27,Nia Adebayo,niaadebayo@lagostechhub.com,Autonomous Commerce Researcher,Lagos Tech Hub,mn_addr_preprod1z3uhygydu82z4dc009f45um83amzvd5dzczzu9hz2zs7acwydnlq6az7su,0x0fe0a2b97d80ea62e634dd9ae5a5f0d09c5390e6d15bdd95a25e528ff263acda,2679256,https://explorer.1am.xyz/tx/0fe0a2b97d80ea62e634dd9ae5a5f0d09c5390e6d15bdd95a25e528ff263acda?network=preprod,https://preprod.midnightexplorer.com/transactions/0x0fe0a2b97d80ea62e634dd9ae5a5f0d09c5390e6d15bdd95a25e528ff263acda,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Agent Spending Guardrails,5,Gives non-technical finance managers complete confidence when delegating corporate budgets to autonomous AI models like Claude and GPT-4.,2026-09-22T23:28:37.184Z,CONFIRMED (SUCCESS)
28,Maximilian Krause,maximiliankrause@berlincloudworks.com,Enterprise Software Engineer,Berlin Cloud Works,mn_addr_preprod19wzq82jptm9l0f35ul7sx5tq54vzxv65ehwnvtcpe7zgrqv9rgsspahtgm,0x6b1b676954c6546ee248ae2f13060c8fecfc0f071919bbaaab3ff35beba3b873,2679284,https://explorer.1am.xyz/tx/6b1b676954c6546ee248ae2f13060c8fecfc0f071919bbaaab3ff35beba3b873?network=preprod,https://preprod.midnightexplorer.com/transactions/0x6b1b676954c6546ee248ae2f13060c8fecfc0f071919bbaaab3ff35beba3b873,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Ghost Client SDK Client,5,The SDK TypeScript types and method signatures are intuitive. The evaluatePolicy method allows pre-flight checks before spending DUST on gas.,2026-09-23T00:28:37.184Z,CONFIRMED (SUCCESS)
29,Fatima Zahra,fatimazahra@casablancafincorp.com,Regulatory Affairs Manager,Casablanca FinCorp,mn_addr_preprod1sk30ep44902ndj8t59fxjunvx5wug83my3pqvgfk58qsqt5jz0jssah2sp,0xd050e8a8d4f8a5cb253ed96c695b94aac4b4ee7034287a2fc41473aca7a5f43f,2679312,https://explorer.1am.xyz/tx/d050e8a8d4f8a5cb253ed96c695b94aac4b4ee7034287a2fc41473aca7a5f43f?network=preprod,https://preprod.midnightexplorer.com/transactions/0xd050e8a8d4f8a5cb253ed96c695b94aac4b4ee7034287a2fc41473aca7a5f43f,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Compliance Attestation Generation,5,Generated automated attestation reports for our oversight committee. Proves compliance with zero data leakage—a game changer for financial regulation.,2026-09-23T01:28:37.184Z,CONFIRMED (SUCCESS)
30,Lucas Silva,lucassilva@riocryptolabs.com,Full Stack Web3 Developer,Rio Crypto Labs,mn_addr_preprod1dhsh2ch83dextusjyrehhrgjx75tzgrlhyd7jqlm8datp6fwvp4q7w3uz8,0x6bef72cb07e420cb592524d38d132b4e6f6f900a1f457ce250c9a81912ee180c,2679340,https://explorer.1am.xyz/tx/6bef72cb07e420cb592524d38d132b4e6f6f900a1f457ce250c9a81912ee180c?network=preprod,https://preprod.midnightexplorer.com/transactions/0x6bef72cb07e420cb592524d38d132b4e6f6f900a1f457ce250c9a81912ee180c,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,1AM Explorer Contract View,5,Found the deployed contract on 1AM explorer under /contract/d72f... Activity feed displayed all test calls with exact gas and block heights.,2026-09-23T02:28:37.184Z,CONFIRMED (SUCCESS)
31,Katarina Novak,katarinanovak@praguesecurityguild.com,Cryptographic Protocol Specialist,Prague Security Guild,mn_addr_preprod15dg60htcsszzd4aggxgywy7haaqzcyp6c76sgszeq6jp4cyq47kqn82hl0,0x74bca15eaa899857f548663e19db4a67aed9e06406ac275db53e7a77bbb05c78,2679368,https://explorer.1am.xyz/tx/74bca15eaa899857f548663e19db4a67aed9e06406ac275db53e7a77bbb05c78?network=preprod,https://preprod.midnightexplorer.com/transactions/0x74bca15eaa899857f548663e19db4a67aed9e06406ac275db53e7a77bbb05c78,0xd72f60d3f297dc84078e19677b60e88759f9982a3ea3dbf87a387814cda034ad,Nullifier & Commitment Verification,4.5,Verified DUST ledger nullifier mechanics. Double-spend attempts are mathematically rejected by the consensus layer before reaching the contract.,2026-09-23T03:28:37.184Z,CONFIRMED (SUCCESS)
